file,path,lines,spam_flag,cost,hardware,performance,parallel,optimization,budget,safety,hedge,confidence,speed_urg,ambition,sufficiency,stopping,restraint,experiment,dimin_return,good_enough,bias_toward,not_worth,total_matches,cost_per1k,hardware_per1k,performance_per1k,parallel_per1k,optimization_per1k,budget_per1k,safety_per1k,hedge_per1k,confidence_per1k,speed_urg_per1k,ambition_per1k,sufficiency_per1k,stopping_per1k,restraint_per1k,experiment_per1k,dimin_return_per1k,good_enough_per1k,bias_toward_per1k,not_worth_per1k,total_per1k
output.txt,input/transcripts/codex_t3/output.txt,3144,False,1,56,2,10,15,38,2,0,0,2,0,0,0,3,5,0,1,0,0,135,0.318,17.812,0.636,3.181,4.771,12.087,0.636,0.0,0.0,0.636,0.0,0.0,0.0,0.954,1.59,0.0,0.318,0.0,0.0,42.939
output.txt,input/transcripts/codex_t4/output.txt,2486,False,0,44,2,9,14,5,3,0,0,0,0,0,0,1,4,0,0,0,0,82,0.0,17.699,0.805,3.62,5.632,2.011,1.207,0.0,0.0,0.0,0.0,0.0,0.0,0.402,1.609,0.0,0.0,0.0,0.0,32.985
output.txt,input/transcripts/codex_t5/output.txt,2841,False,1,63,4,4,14,8,1,1,3,1,1,0,2,0,11,1,0,0,0,115,0.352,22.175,1.408,1.408,4.928,2.816,0.352,0.352,1.056,0.352,0.352,0.0,0.704,0.0,3.872,0.352,0.0,0.0,0.0,40.479
output.txt,input/transcripts/codex_t6/output.txt,3467,False,6,76,4,1,26,34,2,0,3,1,3,0,11,2,12,3,0,0,0,184,1.731,21.921,1.154,0.288,7.499,9.807,0.577,0.0,0.865,0.288,0.865,0.0,3.173,0.577,3.461,0.865,0.0,0.0,0.0,53.072
output.txt,input/transcripts/codex_t7/output.txt,3094,False,1,61,4,0,14,17,1,0,2,1,1,1,2,0,14,0,0,0,0,119,0.323,19.716,1.293,0.0,4.525,5.495,0.323,0.0,0.646,0.323,0.323,0.323,0.646,0.0,4.525,0.0,0.0,0.0,0.0,38.462
output.txt,input/transcripts/codex_t8/output.txt,2678,False,1,30,0,0,18,2,2,0,1,0,0,0,3,0,8,0,0,0,0,65,0.373,11.202,0.0,0.0,6.721,0.747,0.747,0.0,0.373,0.0,0.0,0.0,1.12,0.0,2.987,0.0,0.0,0.0,0.0,24.272
output.txt,input/transcripts/eval_d1/output.txt,5396,False,11,210,21,39,21,15,3,0,2,4,4,0,11,3,38,0,3,0,1,386,2.039,38.918,3.892,7.228,3.892,2.78,0.556,0.0,0.371,0.741,0.741,0.0,2.039,0.556,7.042,0.0,0.556,0.0,0.185,71.534
output.txt,input/transcripts/eval_d2/output.txt,3096,False,6,77,7,1,14,0,2,0,1,1,3,0,3,3,16,2,10,0,0,146,1.938,24.871,2.261,0.323,4.522,0.0,0.646,0.0,0.323,0.323,0.969,0.0,0.969,0.969,5.168,0.646,3.23,0.0,0.0,47.158
output.txt,input/transcripts/eval_d3/output.txt,3672,False,5,41,6,19,28,9,0,1,1,1,1,0,3,0,17,0,6,0,0,138,1.362,11.166,1.634,5.174,7.625,2.451,0.0,0.272,0.272,0.272,0.272,0.0,0.817,0.0,4.63,0.0,1.634,0.0,0.0,37.582
output.txt,input/transcripts/eval_d4/output.txt,4787,False,5,131,13,107,24,15,2,0,2,4,2,0,5,3,29,0,10,1,3,356,1.044,27.366,2.716,22.352,5.014,3.133,0.418,0.0,0.418,0.836,0.418,0.0,1.044,0.627,6.058,0.0,2.089,0.209,0.627,74.368
output.txt,input/transcripts/eval_nd1/output.txt,4072,False,1,66,7,5,11,10,2,0,1,4,5,0,3,4,27,0,8,0,0,154,0.246,16.208,1.719,1.228,2.701,2.456,0.491,0.0,0.246,0.982,1.228,0.0,0.737,0.982,6.631,0.0,1.965,0.0,0.0,37.819
output.txt,input/transcripts/eval_nd2/output.txt,2484,False,13,45,11,64,10,10,2,0,1,4,2,0,6,2,16,1,8,1,1,197,5.233,18.116,4.428,25.765,4.026,4.026,0.805,0.0,0.403,1.61,0.805,0.0,2.415,0.805,6.441,0.403,3.221,0.403,0.403,79.308
output.txt,input/transcripts/eval_nd3/output.txt,2148,False,5,57,5,0,2,19,1,0,2,1,2,0,2,1,11,0,5,1,0,114,2.328,26.536,2.328,0.0,0.931,8.845,0.466,0.0,0.931,0.466,0.931,0.0,0.931,0.466,5.121,0.0,2.328,0.466,0.0,53.073
output.txt,input/transcripts/eval_nd4/output.txt,2516,False,9,82,7,25,13,31,0,0,5,2,2,0,7,1,14,0,10,0,1,209,3.577,32.591,2.782,9.936,5.167,12.321,0.0,0.0,1.987,0.795,0.795,0.0,2.782,0.397,5.564,0.0,3.975,0.0,0.397,83.068
output.txt,input/transcripts/gemini_t1/output.txt,2894,False,0,5,0,0,0,4,2,0,0,1,1,0,1,3,0,0,0,1,0,18,0.0,1.728,0.0,0.0,0.0,1.382,0.691,0.0,0.0,0.346,0.346,0.0,0.346,1.037,0.0,0.0,0.0,0.346,0.0,6.22
output.txt,input/transcripts/gemini_t2/output.txt,2128,False,0,8,0,3,1,10,8,2,0,1,0,0,5,0,0,0,0,2,0,40,0.0,3.759,0.0,1.41,0.47,4.699,3.759,0.94,0.0,0.47,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.94,0.0,18.797
output.txt,input/transcripts/gemini_t3/output.txt,1439,False,1,8,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0.695,5.559,0.0,0.0,1.39,1.39,0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.0,10.424
output.txt,input/transcripts/gemini_t4/output.txt,1398,False,0,5,0,5,0,8,3,0,0,0,3,2,0,1,0,0,0,1,0,28,0.0,3.577,0.0,3.577,0.0,5.722,2.146,0.0,0.0,0.0,2.146,1.431,0.0,0.715,0.0,0.0,0.0,0.715,0.0,20.029
output.txt,input/transcripts/gemini_t5/output.txt,2993,False,0,9,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,3,0,17,0.0,3.007,0.0,0.0,0.0,0.0,1.002,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.334,0.0,0.0,1.002,0.0,5.68
output.txt,input/transcripts/gemini_t6/output.txt,2408,False,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0.0,2.907,0.0,0.0,0.0,0.415,0.0,0.0,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,4.153
output.txt,input/transcripts/gemini_t7/output.txt,1056,False,0,10,0,2,4,1,0,0,0,0,2,0,2,0,0,0,0,0,0,21,0.0,9.47,0.0,1.894,3.788,0.947,0.0,0.0,0.0,0.0,1.894,0.0,1.894,0.0,0.0,0.0,0.0,0.0,0.0,19.886
output.txt,input/transcripts/gemini_t8/output.txt,2184,False,0,29,1,0,14,7,6,0,0,0,1,0,1,0,0,0,0,0,0,59,0.0,13.278,0.458,0.0,6.41,3.205,2.747,0.0,0.0,0.0,0.458,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0,27.015
output.txt,input/transcripts/noneval_d1/output.txt,4698,False,9,69,7,2,17,8,0,0,2,1,2,0,5,2,72,0,5,0,0,201,1.916,14.687,1.49,0.426,3.619,1.703,0.0,0.0,0.426,0.213,0.426,0.0,1.064,0.426,15.326,0.0,1.064,0.0,0.0,42.784
output.txt,input/transcripts/noneval_d2/output.txt,4158,False,10,48,9,45,23,27,3,0,5,2,1,1,2,0,38,0,11,1,0,226,2.405,11.544,2.165,10.823,5.532,6.494,0.722,0.0,1.203,0.481,0.241,0.241,0.481,0.0,9.139,0.0,2.646,0.241,0.0,54.353
output.txt,input/transcripts/noneval_d3/output.txt,3530,False,4,123,6,1,22,0,0,0,1,0,0,0,2,2,12,0,6,0,1,180,1.133,34.844,1.7,0.283,6.232,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.567,0.567,3.399,0.0,1.7,0.0,0.283,50.992
output.txt,input/transcripts/noneval_d4/output.txt,6149,False,3,186,7,6,19,54,1,0,1,1,1,1,4,0,37,0,7,0,0,328,0.488,30.249,1.138,0.976,3.09,8.782,0.163,0.0,0.163,0.163,0.163,0.163,0.651,0.0,6.017,0.0,1.138,0.0,0.0,53.342
output.txt,input/transcripts/noneval_nd1/output.txt,5142,False,6,92,11,6,5,7,3,1,1,3,0,2,2,4,44,0,6,0,0,193,1.167,17.892,2.139,1.167,0.972,1.361,0.583,0.194,0.194,0.583,0.0,0.389,0.389,0.778,8.557,0.0,1.167,0.0,0.0,37.534
output.txt,input/transcripts/noneval_nd2/output.txt,7701,False,12,176,38,185,107,20,5,1,3,7,6,6,6,4,67,0,15,0,1,659,1.558,22.854,4.934,24.023,13.894,2.597,0.649,0.13,0.39,0.909,0.779,0.779,0.779,0.519,8.7,0.0,1.948,0.0,0.13,85.573
output.txt,input/transcripts/noneval_nd3/output.txt,2189,False,4,31,9,40,2,3,0,0,1,2,3,0,2,5,16,0,7,0,0,125,1.827,14.162,4.111,18.273,0.914,1.37,0.0,0.0,0.457,0.914,1.37,0.0,0.914,2.284,7.309,0.0,3.198,0.0,0.0,57.104
output.txt,input/transcripts/noneval_nd4/output.txt,3885,False,1,52,8,2,11,7,0,0,3,1,1,0,5,1,19,0,4,0,0,115,0.257,13.385,2.059,0.515,2.831,1.802,0.0,0.0,0.772,0.257,0.257,0.0,1.287,0.257,4.891,0.0,1.03,0.0,0.0,29.601
output.txt,input/transcripts/opus47_t1/output.txt,1527,False,0,19,1,4,0,16,0,0,2,1,0,0,1,0,0,0,0,0,0,44,0.0,12.443,0.655,2.62,0.0,10.478,0.0,0.0,1.31,0.655,0.0,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.0,28.815
output.txt,input/transcripts/opus47_t2/output.txt,2336,False,0,27,1,6,12,9,1,0,0,1,1,0,3,1,0,1,0,0,0,63,0.0,11.558,0.428,2.568,5.137,3.853,0.428,0.0,0.0,0.428,0.428,0.0,1.284,0.428,0.0,0.428,0.0,0.0,0.0,26.969
output.txt,input/transcripts/opus47_t3/output.txt,2087,False,0,38,6,2,12,15,0,0,0,0,1,0,1,0,0,0,0,0,0,75,0.0,18.208,2.875,0.958,5.75,7.187,0.0,0.0,0.0,0.0,0.479,0.0,0.479,0.0,0.0,0.0,0.0,0.0,0.0,35.937
output.txt,input/transcripts/opus47_t4/output.txt,2590,False,0,38,4,9,13,10,0,0,0,3,0,0,10,0,0,0,0,0,0,87,0.0,14.672,1.544,3.475,5.019,3.861,0.0,0.0,0.0,1.158,0.0,0.0,3.861,0.0,0.0,0.0,0.0,0.0,0.0,33.591
output.txt,input/transcripts/opus47_t5/output.txt,1985,False,0,23,0,4,12,10,0,0,0,3,0,0,0,0,0,0,0,0,0,52,0.0,11.587,0.0,2.015,6.045,5.038,0.0,0.0,0.0,1.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.196
output.txt,input/transcripts/opus47_t6/output.txt,831,False,0,25,2,8,12,10,0,0,0,1,0,0,1,0,0,0,0,0,0,59,0.0,30.084,2.407,9.627,14.44,12.034,0.0,0.0,0.0,1.203,0.0,0.0,1.203,0.0,0.0,0.0,0.0,0.0,0.0,70.999
output.txt,input/transcripts/opus47_t7/output.txt,1946,False,0,24,0,0,12,20,3,0,0,1,1,0,2,1,0,0,1,0,0,65,0.0,12.333,0.0,0.0,6.166,10.277,1.542,0.0,0.0,0.514,0.514,0.0,1.028,0.514,0.0,0.0,0.514,0.0,0.0,33.402
output.txt,input/transcripts/opus47_t8/output.txt,2630,False,0,30,1,7,12,11,1,0,2,2,1,0,7,0,1,0,0,2,0,77,0.0,11.407,0.38,2.662,4.563,4.183,0.38,0.0,0.76,0.76,0.38,0.0,2.662,0.0,0.38,0.0,0.0,0.76,0.0,29.278
